title,num_rooms,num_bedrooms,type_of_good,total_area,total_land_area,condition,latitude,longitude,city,region,features,url,price,Antenne parabolique,Ascenseur,Chambre rangement,Chauffage central,Cheminée,Climatisation,Concierge,Cuisine équipée,Double vitrage,Entre-seul,Four,Garage,Jardin,Machine à laver,Meublé,Micro-ondes,Piscine,Porte blindée,Réfrigérateur,Salon européen,Sécurité,Terrasse,Vue sur les montagnes,Vue sur mer
Villa harmonia,,2,Villa,104,,Bon état,33.8075978,10.8451467,Djerba,Djerba,Jardin;Piscine;Meublé;Climatisation;Porte blindée;Cuisine équipée;Réfrigérateur;Four,https://www.mubawab.tn/fr/a/8004541/villa-harmonia,395580,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False
Villa farabi,4,2,Villa,145,,Nouveau,33.8075978,10.8451467,Djerba,Djerba,Jardin;Garage;Piscine,https://www.mubawab.tn/fr/a/7883101/villa-farabi,262500,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
Villa châtillon,,3,Villa,204,,Nouveau,33.866667,10.85,Houmt Souk,Djerba,Jardin;Terrasse;Garage;Piscine;Porte blindée;Cuisine équipée,https://www.mubawab.tn/fr/a/8004297/villa-ch%C3%A2tillon,719580,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False
À vendre une villa avec piscine à Gammarth,4,3,Maison,350,,Nouveau,36.917739,10.288893,Gammarth,La Marsa,Jardin;Garage;Piscine;Concierge;Climatisation;Chauffage central;Sécurité;Double vitrage;Cuisine équipée,https://www.mubawab.tn/fr/a/7910900/%C3%A0-vendre-une-villa-avec-piscine-%C3%A0-gammarth,1850000,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False
Une villa plain pied S4 à Hammamet,5,4,Villa,220,,Nouveau,36.40108,10.61457,Hammamet,Hammamet,Jardin;Terrasse;Garage;Vue sur mer;Chambre rangement;Meublé;Salon européen;Antenne parabolique;Cheminée;Climatisation;Chauffage central;Sécurité;Double vitrage;Porte blindée;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,https://www.mubawab.tn/fr/a/7900832/une-villa-plain-pied-s4-%C3%A0-hammamet,650000,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True
Villa individuelle en vente,,,Villa,460,,,37.266667,9.866667,Bizerte,,Sécurité;Cuisine équipée;Réfrigérateur;Four;Machine à laver;Micro-ondes,https://www.mubawab.tn/fr/a/8043680/villa-individuelle-en-vente,725000,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False
Etage de villa en vente,,,Villa,120,,,37.266667,9.866667,Bizerte,,Terrasse;Sécurité,https://www.mubawab.tn/fr/a/8059758/etage-de-villa-en-vente,220000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Villa de luxe à vendre à Aghir Djerba,3,3,Villa,200,466.0,Nouveau,33.759722,11.01251,Aghir,,Jardin;Piscine;Meublé;Climatisation;Cuisine équipée,https://www.mubawab.tn/fr/a/8075134/villa-de-luxe-%C3%A0-vendre-%C3%A0-aghir-djerba,990000,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
Immeuble à vendre en zone urbaine Houmt Souk,9,9,Villa,680,740.0,Bon état,33.866667,10.85,Houmt Souk,Houmt Souk,Meublé;Climatisation,https://www.mubawab.tn/fr/a/8075137/immeuble-%C3%A0-vendre-en-zone-urbaine-houmt-souk,1700000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
A vendre une Villa S3 et 5 appartements S2,3,3,Maison,700,220.0,Bon état,37.21956296641628,10.112532215791628,Ras Jebel,,Garage;Vue sur mer;Chambre rangement;Antenne parabolique,https://www.mubawab.tn/fr/a/8075496/a-vendre-une-villa-s3-et-5-appartements-s2,1500000,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
